"","TopicID","Word","Region","Year"
"317",6,"salt","RC WEST","2005"
"318",6,"following","RC WEST","2005"
"319",7,"frago","RC WEST","2005"
"320",7,"04-05","RC WEST","2005"
"321",7,"opord","RC WEST","2005"
"322",8,"holding","RC WEST","2005"
"323",8,"kandahar","RC WEST","2005"
"324",8,"facility","RC WEST","2005"
"325",9,"casevac","RC WEST","2005"
"326",9,"longhorn","RC WEST","2005"
"327",9,"shindand","RC WEST","2005"
"328",10,"cache","RC WEST","2005"
"329",10,"41s","RC WEST","2005"
"330",10,"remarks:","RC WEST","2005"
"331",1,"cjsotf","UNKNOWN","2005"
"332",1,"pak","UNKNOWN","2005"
"333",1,"105mm","UNKNOWN","2005"
"334",2,"bcp","UNKNOWN","2005"
"335",2,"rocket","UNKNOWN","2005"
"336",2,"cjsotf","UNKNOWN","2005"
"337",3,"fired","UNKNOWN","2005"
"338",3,"attack","UNKNOWN","2005"
"339",3,"poo","UNKNOWN","2005"
"340",4,"ivo","UNKNOWN","2005"
"341",4,"cjsotf","UNKNOWN","2005"
"342",4,"medevac","UNKNOWN","2005"
"343",5,"cjsotf","UNKNOWN","2005"
"344",5,"sent","UNKNOWN","2005"
"345",5,"rockets,","UNKNOWN","2005"
"346",6,"medevac","UNKNOWN","2005"
"347",6,"w/d","UNKNOWN","2005"
"348",6,"w/u","UNKNOWN","2005"
"349",7,"rocket","UNKNOWN","2005"
"350",7,"cjsotf","UNKNOWN","2005"
"351",7,"42s","UNKNOWN","2005"
"352",8,"fire","UNKNOWN","2005"
"353",8,"cjsotf","UNKNOWN","2005"
"354",8,"arms","UNKNOWN","2005"
"355",9,"cjsotf","UNKNOWN","2005"
"356",9,"42s","UNKNOWN","2005"
"357",9,"att.","UNKNOWN","2005"
"358",10,"ivo","UNKNOWN","2005"
"359",10,"42s","UNKNOWN","2005"
"360",10,"mortar","UNKNOWN","2005"
"361",1,"cache","RC CAPITAL","2006"
"362",1,"site","RC CAPITAL","2006"
"363",1,"discovered","RC CAPITAL","2006"
"364",2,"convoy","RC CAPITAL","2006"
"365",2,"nds","RC CAPITAL","2006"
"366",2,"rcied","RC CAPITAL","2006"
"367",3,"suicide","RC CAPITAL","2006"
"368",3,"device","RC CAPITAL","2006"
"369",3,"kcp","RC CAPITAL","2006"
"370",4,"anp","RC CAPITAL","2006"
"371",4,"baf.","RC CAPITAL","2006"
"372",4,"lns","RC CAPITAL","2006"
"373",5,"vehicle","RC CAPITAL","2006"
"374",5,"isaf","RC CAPITAL","2006"
"375",5,"convoy","RC CAPITAL","2006"
"376",6,"ana","RC CAPITAL","2006"
"377",6,"ied","RC CAPITAL","2006"
"378",6,"ivo","RC CAPITAL","2006"
"379",7,"cexc","RC CAPITAL","2006"
"380",7,"ied","RC CAPITAL","2006"
"381",7,"kabul","RC CAPITAL","2006"
"382",8,"isaf","RC CAPITAL","2006"
"383",8,"ied","RC CAPITAL","2006"
"384",8,"nds","RC CAPITAL","2006"
"385",9,"phoenix","RC CAPITAL","2006"
"386",9,"camp","RC CAPITAL","2006"
"387",9,"baf","RC CAPITAL","2006"
"388",10,"kcp","RC CAPITAL","2006"
"389",10,"report)","RC CAPITAL","2006"
"390",10,"(delayed","RC CAPITAL","2006"
"391",1,"fob","RC EAST","2006"
"392",1,"vehicle","RC EAST","2006"
"393",1,"catamount","RC EAST","2006"
"394",2,"isaf","RC EAST","2006"
"395",2,"closed","RC EAST","2006"
"396",2,"event","RC EAST","2006"
"397",3,"(delayed","RC EAST","2006"
"398",3,"report)","RC EAST","2006"
"399",3,"cjsotf","RC EAST","2006"
"400",4,"prt","RC EAST","2006"
"401",4,"district","RC EAST","2006"
"402",4,"police","RC EAST","2006"
"403",5,"anp","RC EAST","2006"
"404",5,"wolfpack","RC EAST","2006"
"405",5,"fob","RC EAST","2006"
"406",6,"enemy","RC EAST","2006"
"407",6,"fire","RC EAST","2006"
"408",6,"chosin","RC EAST","2006"
"409",7,"medevac","RC EAST","2006"
"410",7,"w/u","RC EAST","2006"
"411",7,"w/d","RC EAST","2006"
"412",8,"ana","RC EAST","2006"
"413",8,"fob","RC EAST","2006"
"414",8,"rockets","RC EAST","2006"
"415",9,"prt","RC EAST","2006"
"416",9,"governor","RC EAST","2006"
"417",9,"meeting","RC EAST","2006"
"418",10,"ied","RC EAST","2006"
"419",10,"eod","RC EAST","2006"
"420",10,"discovered","RC EAST","2006"
"421",1,"ana","RC NORTH","2006"
"422",1,"prt","RC NORTH","2006"
"423",1,"district,","RC NORTH","2006"
"424",2,"rocket","RC NORTH","2006"
"425",2,"prt","RC NORTH","2006"
"426",2,"local","RC NORTH","2006"
"427",3,"nds","RC NORTH","2006"
"428",3,"prt","RC NORTH","2006"
"429",3,"requested","RC NORTH","2006"
"430",4,"ied","RC NORTH","2006"
"431",4,"prt","RC NORTH","2006"
"432",4,"ivo","RC NORTH","2006"
"433",5,"prt","RC NORTH","2006"
"434",5,"ied","RC NORTH","2006"
"435",5,"road","RC NORTH","2006"
"436",6,"ied","RC NORTH","2006"
"437",6,"eod","RC NORTH","2006"
"438",6,"isaf","RC NORTH","2006"
"439",7,"(delayed","RC NORTH","2006"
"440",7,"report)","RC NORTH","2006"
"441",7,"cexc","RC NORTH","2006"
"442",8,"police","RC NORTH","2006"
"443",8,"ied","RC NORTH","2006"
"444",8,"baghlan","RC NORTH","2006"
"445",9,"eod","RC NORTH","2006"
"446",9,"mine","RC NORTH","2006"
"447",9,"ied","RC NORTH","2006"
"448",10,"ied","RC NORTH","2006"
"449",10,"device","RC NORTH","2006"
"450",10,"patrol","RC NORTH","2006"
"451",1,"ana","RC SOUTH","2006"
"452",1,"fob","RC SOUTH","2006"
"453",1,"wia","RC SOUTH","2006"
"454",2,"aegis","RC SOUTH","2006"
"455",2,"injuries","RC SOUTH","2006"
"456",2,"reported.","RC SOUTH","2006"
"457",3,"closed","RC SOUTH","2006"
"458",3,"district,","RC SOUTH","2006"
"459",3,"06,","RC SOUTH","2006"
"460",4,"enemy","RC SOUTH","2006"
"461",4,"engaged","RC SOUTH","2006"
"462",4,"cas","RC SOUTH","2006"
"463",5,"fire","RC SOUTH","2006"
"464",5,"mortar","RC SOUTH","2006"
"465",5,"tic","RC SOUTH","2006"
"466",6,"vehicle","RC SOUTH","2006"
"467",6,"ied","RC SOUTH","2006"
"468",6,"convoy","RC SOUTH","2006"
"469",7,"tic","RC SOUTH","2006"
"470",7,"unit","RC SOUTH","2006"
"471",7,"fire","RC SOUTH","2006"
"472",8,"medevac","RC SOUTH","2006"
"473",8,"requested","RC SOUTH","2006"
"474",8,"w/d","RC SOUTH","2006"
"475",9,"cjsotf","RC SOUTH","2006"
"476",9,"ied","RC SOUTH","2006"
"477",9,"patrol","RC SOUTH","2006"
"478",10,"ied","RC SOUTH","2006"
"479",10,"anp","RC SOUTH","2006"
"480",10,"eod","RC SOUTH","2006"
"481",1,"anp","RC WEST","2006"
"482",1,"police","RC WEST","2006"
"483",1,"attacked","RC WEST","2006"
"484",2,"convoy","RC WEST","2006"
"485",2,"device","RC WEST","2006"
"486",2,"(delayed","RC WEST","2006"
"487",3,"ied","RC WEST","2006"
"488",3,"farah","RC WEST","2006"
"489",3,"prt","RC WEST","2006"
"490",4,"report)","RC WEST","2006"
"491",4,"(delayed","RC WEST","2006"
"492",4,"isaf","RC WEST","2006"
"493",5,"road","RC WEST","2006"
"494",5,"governor","RC WEST","2006"
"495",5,"panjshir","RC WEST","2006"
"496",6,"eod","RC WEST","2006"
"497",6,"ied","RC WEST","2006"
"498",6,"farah","RC WEST","2006"
"499",7,"prt","RC WEST","2006"
"500",7,"district","RC WEST","2006"
"501",7,"farah","RC WEST","2006"
"502",8,"meeting","RC WEST","2006"
"503",8,"prt","RC WEST","2006"
"504",8,"discussion","RC WEST","2006"
"505",9,"prt","RC WEST","2006"
"506",9,"governor","RC WEST","2006"
"507",9,"provincial","RC WEST","2006"
"508",10,"cjsotf","RC WEST","2006"
"509",10,"ana","RC WEST","2006"
"510",10,"fire","RC WEST","2006"
"511",1,"patrol","UNKNOWN","2006"
"512",1,"truck","UNKNOWN","2006"
